date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:37:07	253886/253886	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:20%20GMT	https://www.dejan.works/work/tripscout/img/Tripscout-Places.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/tripscout/img/Tripscout-Places.webp	(from https://www.dejan.works/work/tripscout/)
03:37:15	212430/212430	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:20%20GMT	https://www.dejan.works/work/tripscout/img/Tripscout-Notification.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/tripscout/img/Tripscout-Notification.webp	(from https://www.dejan.works/work/tripscout/)
03:37:16	276656/276656	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:19%20GMT	https://www.dejan.works/work/tripscout/img/Tripscout-Food.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/tripscout/img/Tripscout-Food.webp	(from https://www.dejan.works/work/tripscout/)
03:37:16	211508/211508	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:20%20GMT	https://www.dejan.works/work/tripscout/img/Tripscout-Place.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/tripscout/img/Tripscout-Place.webp	(from https://www.dejan.works/work/tripscout/)
03:37:17	120618/120618	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:20%20GMT	https://www.dejan.works/work/tripscout/img/Tripscout-Trips.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/tripscout/img/Tripscout-Trips.webp	(from https://www.dejan.works/work/tripscout/)
03:37:19	116940/116940	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:19%20GMT	https://www.dejan.works/work/tripscout/img/Tripscout-Itinerary.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/tripscout/img/Tripscout-Itinerary.webp	(from https://www.dejan.works/work/tripscout/)
03:37:23	240550/240550	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:20%20GMT	https://www.dejan.works/work/tripscout/img/Tripscout-Website.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/tripscout/img/Tripscout-Website.webp	(from https://www.dejan.works/work/tripscout/)
03:37:24	74970/74970	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:20%20GMT	https://www.dejan.works/work/tripscout/img/Tripscout-SignIn.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/tripscout/img/Tripscout-SignIn.webp	(from https://www.dejan.works/work/tripscout/)
03:37:28	276392/276392	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:20%20GMT	https://www.dejan.works/work/tripscout/img/Tripscout-SF.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/tripscout/img/Tripscout-SF.webp	(from https://www.dejan.works/work/tripscout/)
03:37:29	162500/162500	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:20%20GMT	https://www.dejan.works/work/tripscout/img/Tripscout-Web-Places.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/tripscout/img/Tripscout-Web-Places.webp	(from https://www.dejan.works/work/tripscout/)
03:37:31	118900/118900	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:20%20GMT	https://www.dejan.works/work/tripscout/img/Tripscout-Web-Topics.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/tripscout/img/Tripscout-Web-Topics.webp	(from https://www.dejan.works/work/tripscout/)
03:37:33	242432/242432	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:20%20GMT	https://www.dejan.works/work/tripscout/img/Tripscout-Website-Black.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/tripscout/img/Tripscout-Website-Black.webp	(from https://www.dejan.works/work/tripscout/)
03:37:36	379354/379354	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:19%20GMT	https://www.dejan.works/work/tripscout/img/Tripscout-Booking.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/tripscout/img/Tripscout-Booking.webp	(from https://www.dejan.works/work/tripscout/)
03:37:37	102520/102520	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:19%20GMT	https://www.dejan.works/work/tripscout/img/Tripscout-Booking-Mobile.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/tripscout/img/Tripscout-Booking-Mobile.webp	(from https://www.dejan.works/work/tripscout/)
03:37:43	203172/203172	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/athotel/img/Athotel-Award.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel-Award.webp	(from https://www.dejan.works/work/athotel/)
03:37:44	277262/277262	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/athotel/img/Athotel.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel.webp	(from https://www.dejan.works/work/athotel/)
03:37:53	86558/86558	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/athotel/img/Athotel-Mobile-Homepage.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel-Mobile-Homepage.webp	(from https://www.dejan.works/work/athotel/)
03:37:57	304522/304522	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/athotel/img/Athotel-Community.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel-Community.webp	(from https://www.dejan.works/work/athotel/)
03:37:58	5513677/5513677	---M--	200	added ('OK')	video/mp4	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/days/video/Days.mp4	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/days/video/Days.mp4	(from https://www.dejan.works/work/days/)
03:38:00	182222/182222	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2015:07:58%20GMT	https://www.dejan.works/work/athotel/img/Athotel-Trustpilot.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel-Trustpilot.webp	(from https://www.dejan.works/work/athotel/)
03:38:00	73250/73250	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/athotel/img/Athotel-Mobile-Filter-Search.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel-Mobile-Filter-Search.webp	(from https://www.dejan.works/work/athotel/)
03:38:02	384058/384058	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/athotel/img/Athotel-Desktop-Website.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel-Desktop-Website.webp	(from https://www.dejan.works/work/athotel/)
03:38:08	238684/238684	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/athotel/img/Athotel-Mobile-Profile-Above-Fold.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel-Mobile-Profile-Above-Fold.webp	(from https://www.dejan.works/work/athotel/)
03:38:09	348808/348808	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/athotel/img/Athotel-Desktop-Search-Split.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel-Desktop-Search-Split.webp	(from https://www.dejan.works/work/athotel/)
03:38:11	255940/255940	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/athotel/img/Athotel-Mobile-Search-Results.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel-Mobile-Search-Results.webp	(from https://www.dejan.works/work/athotel/)
